source_type,source_name,source_file,source_page,chapter_code,chapter_name,section_code,section_name,item_group_name,source_code,standard_name_candidate,unit,work_content,keywords,aliases,feature_template,extraction_confidence,review_status,remark
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,平整场地,A1-1-1,平整场地,100m2,场地平整,平整场地;土方,,场地标高;平整范围,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,原土打夯,A1-1-2,原土打夯 人工夯实,100m2,原土人工夯实,原土打夯;人工夯实,,夯实方式;施工部位,0.82,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,原土打夯,A1-1-3,原土打夯 机械夯实,100m2,机械夯实原土,原土打夯;机械夯实,,夯实机械;施工部位,0.82,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖一般土方,A1-1-5,人工挖一般土方 一二类土,100m3,人工开挖一般土方,人工挖土方;一般土方;一二类土,,土类别;开挖方式,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖一般土方,A1-1-6,人工挖一般土方 三类土,100m3,人工开挖一般土方,人工挖土方;一般土方;三类土,,土类别;开挖方式,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖基坑土方,A1-1-9,人工挖基坑土方 一二类土,100m3,人工开挖基坑土方,人工挖土方;基坑土方;一二类土,,土类别;基坑深度,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖基坑土方,A1-1-12,人工挖基坑土方 三类土,100m3,人工开挖基坑土方,人工挖土方;基坑土方;三类土,,土类别;基坑深度,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖沟槽土方,A1-1-18,人工挖沟槽土方 一二类土,100m3,人工开挖沟槽土方,人工挖土方;沟槽土方;一二类土,,土类别;沟槽深度,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖沟槽土方,A1-1-21,人工挖沟槽土方 三类土,100m3,人工开挖沟槽土方,人工挖土方;沟槽土方;三类土,,土类别;沟槽深度,0.86,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,人工挖淤泥流砂,A1-1-8,人工挖淤泥流砂,100m3,人工开挖淤泥流砂,人工挖;淤泥;流砂,,土质类别;开挖方式,0.84,pending,A.1.1 mock seed; reference candidate only
gd_quota_2018,广东省房屋建筑与装饰工程综合定额2018,广东省房屋建筑与装饰工程综合定额2018上册,,A.1.1,土石方工程,A.1.1.1,土方工程,土方人工场内运输,A1-1-27,人工运土方 20m以内,100m3,人工场内运输土方,人工运土方;场内运输,,运距;运输方式,0.78,pending,A.1.1 mock seed; reference candidate only
